Sample,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
240,-128232,-8388608,5312931,6094997,-1046363,-7614581,465584,1030970
241,-128151,-8388608,5312874,6095029,-1046476,-7614724,465532,1030866
242,-128108,-8388608,5312788,6095056,-1046591,-7614917,465522,1030826
243,-127981,-8388608,5312760,6095054,-1046734,-7615064,465381,1030579
244,-127724,-8388608,5312643,6095001,-1046837,-7615076,465129,1029906
245,-127403,-8388608,5312485,6094999,-1046991,-7615566,465035,1029506
246,-127037,-8388608,5312405,6094959,-1047135,-7616165,464994,1029124
247,-126564,-8388608,5312348,6094901,-1047247,-7616426,464784,1028268
248,-126220,-8388608,5312266,6094880,-1047336,-7616564,464606,1027688
249,-126062,-8388608,5312238,6094883,-1047414,-7616794,464554,1027508
250,-126076,-8388608,5312272,6094885,-1047449,-7616893,464622,1027644
251,-126294,-8388608,5312359,6094905,-1047472,-7616901,464786,1028216
252,-126536,-8388608,5312366,6094939,-1047492,-7616816,464948,1028761
253,-126776,-8388608,5312389,6094878,-1047454,-7616641,465018,1029151
254,-126984,-8388608,5312364,6094806,-1047394,-7616446,465049,1029395
255,-127042,-8388608,5312231,6094728,-1047351,-7616515,465170,1029626
256,-127001,-8388608,5312161,6094616,-1047321,-7616842,465279,1029830
257,-126949,-8388608,5312201,6094524,-1047286,-7617096,465403,1030017
258,-126874,-8388608,5312256,6094431,-1047233,-7616792,465485,1029993
259,-126737,-8388608,5312241,6094271,-1047167,-7616099,465487,1029808
260,-126507,-8388608,5312228,6094093,-1047128,-7615267,465443,1029552
261,-126266,-8388608,5312192,6093925,-1047114,-7613827,465353,1029174
262,-125946,-8388608,5312169,6093788,-1047049,-7612187,465221,1028553
263,-125506,-8388608,5312138,6093576,-1046949,-7610586,464991,1027658
264,-124986,-8388608,5312051,6093408,-1046897,-7609429,464827,1026927
265,-124628,-8388608,5312088,6093319,-1046857,-7608340,464860,1026804
266,-124471,-8388608,5312245,6093399,-1046784,-7606956,464945,1026773
267,-124559,-8388608,5312418,6093432,-1046661,-7605244,465075,1027014
268,-124816,-8388608,5312568,6093374,-1046485,-7603687,465251,1027534
269,-125051,-8388608,5312659,6093267,-1046290,-7602159,465377,1028011
270,-125284,-8388608,5312696,6093109,-1046056,-7600760,465513,1028496
271,-125461,-8388608,5312662,6092909,-1045871,-7599257,465648,1028896
272,-125491,-8388608,5312635,6092691,-1045705,-7597485,465719,1029033
273,-125382,-8388608,5312603,6092498,-1045533,-7595199,465766,1029010
274,-125264,-8388608,5312529,6092339,-1045332,-7593636,465800,1028978
275,-125211,-8388608,5312511,6092098,-1045120,-7592594,465863,1029000
276,-125066,-8388608,5312493,6091870,-1044907,-7591230,465878,1028878
277,-124834,-8388608,5312419,6091643,-1044703,-7589304,465825,1028588
278,-124542,-8388608,5312318,6091363,-1044494,-7587601,465731,1028088
279,-124207,-8388608,5312176,6091103,-1044323,-7586762,465663,1027539
280,-123722,-8388608,5312124,6090867,-1044240,-7585800,465554,1026914
281,-123256,-8388608,5312081,6090650,-1044091,-7584641,465475,1026343
282,-123012,-8388608,5312031,6090526,-1043981,-7584108,465459,1026136
283,-122958,-8388608,5311974,6090411,-1043891,-7583729,465476,1026079
284,-123150,-8388608,5311923,6090226,-1043700,-7583206,465624,1026512
285,-123444,-8388608,5311874,6090089,-1043505,-7582371,465820,1027103
286,-123762,-8388608,5311739,6089883,-1043296,-7581559,465963,1027648
287,-124030,-8388608,5311588,6089644,-1043023,-7580779,466084,1028096
288,-124248,-8388608,5311399,6089434,-1042784,-7580192,466185,1028456
289,-124289,-8388608,5311214,6089233,-1042592,-7579304,466259,1028559
290,-124267,-8388608,5310998,6088999,-1042415,-7578288,466276,1028511
291,-124202,-8388608,5310769,6088769,-1042245,-7577401,466263,1028445
292,-124151,-8388608,5310558,6088614,-1042054,-7576639,466281,1028404
293,-124054,-8388608,5310345,6088441,-1041899,-7576203,466246,1028288
294,-123887,-8388608,5310124,6088269,-1041789,-7575800,466178,1027976
295,-123613,-8388608,5309913,6088118,-1041704,-7575207,466062,1027537
296,-123299,-8388608,5309681,6087942,-1041629,-7574936,465897,1026958
297,-122847,-8388608,5309454,6087773,-1041597,-7574699,465718,1026194
298,-122542,-8388608,5309283,6087649,-1041591,-7574359,465623,1025794
299,-122407,-8388608,5309131,6087536,-1041552,-7573861,465573,1025635
300,-122471,-8388608,5309015,6087481,-1041476,-7573284,465601,1025764
301,-122732,-8388608,5308944,6087449,-1041441,-7572829,465729,1026339
302,-123030,-8388608,5308898,6087421,-1041386,-7572453,465898,1026916
303,-123357,-8388608,5308751,6087359,-1041334,-7571734,465985,1027312
304,-123703,-8388608,5308604,6087331,-1041317,-7570760,466063,1027859
305,-123836,-8388608,5308450,6087329,-1041321,-7570079,466119,1028198
306,-123841,-8388608,5308293,6087299,-1041329,-7569712,466082,1028215
307,-123851,-8388608,5308180,6087283,-1041372,-7569537,466082,1028277
308,-123829,-8388608,5308098,6087281,-1041388,-7569491,466025,1028219
309,-123807,-8388608,5307990,6087228,-1041417,-7569399,465906,1028028
310,-123736,-8388608,5307772,6087170,-1041470,-7569390,465778,1027793
311,-123542,-8388608,5307626,6087093,-1041509,-7569462,465662,1027416
312,-123271,-8388608,5307491,6087024,-1041567,-7569456,465483,1026894
313,-122972,-8388608,5307313,6086969,-1041675,-7569447,465341,1026441
314,-122566,-8388608,5307187,6086886,-1041781,-7569547,465171,1025716
315,-122313,-8388608,5307126,6086820,-1041869,-7569149,464996,1025213
316,-122277,-8388608,5307043,6086817,-1041964,-7568449,464926,1025211
317,-122392,-8388608,5307009,6086823,-1042045,-7567693,464967,1025478
318,-122753,-8388608,5307001,6086812,-1042076,-7567001,465063,1026070
319,-123072,-8388608,5306942,6086814,-1042105,-7566630,465090,1026464
320,-123432,-8388608,5306812,6086766,-1042103,-7566389,465140,1026896
321,-123756,-8388608,5306651,6086781,-1042204,-7566355,465297,1027524
322,-123872,-8388608,5306574,6086805,-1042326,-7566352,465362,1027798
323,-123869,-8388608,5306556,6086787,-1042471,-7566177,465415,1028003
324,-123848,-8388608,5306543,6086744,-1042588,-7565868,465384,1028051
325,-123840,-8388608,5306444,6086708,-1042653,-7565384,465354,1028021
326,-123806,-8388608,5306368,6086707,-1042764,-7564904,465313,1028028
327,-123649,-8388608,5306284,6086661,-1042819,-7564249,465154,1027594
328,-123436,-8388608,5306125,6086524,-1042791,-7563556,464854,1026836
329,-123212,-8388608,5305948,6086425,-1042814,-7563140,464583,1026194
330,-122868,-8388608,5305803,6086352,-1042898,-7563072,464355,1025599
331,-122532,-8388608,5305758,6086268,-1042984,-7563360,464255,1025208
332,-122313,-8388608,5305838,6086197,-1043042,-7563139,464156,1024937
333,-122319,-8388608,5305873,6086134,-1043056,-7562495,464064,1024886
334,-122549,-8388608,5305904,6086069,-1043069,-7561597,464117,1025306
335,-122934,-8388608,5305945,6086056,-1043032,-7560990,464313,1026067
336,-123251,-8388608,5305986,6086029,-1043007,-7560139,464459,1026629
337,-123544,-8388608,5306028,6085979,-1042954,-7559394,464551,1027150
338,-123750,-8388608,5306051,6085903,-1042887,-7559124,464638,1027548
339,-123852,-8388608,5306053,6085811,-1042836,-7559061,464685,1027718
340,-123848,-8388608,5306084,6085687,-1042789,-7558745,464678,1027795
341,-123835,-8388608,5306126,6085588,-1042692,-7557283,464601,1027756
342,-123816,-8388608,5306155,6085428,-1042559,-7555032,464503,1027602
343,-123802,-8388608,5306139,6085272,-1042469,-7553628,464489,1027536
344,-123604,-8388608,5306116,6085091,-1042305,-7552388,464390,1027225
345,-123320,-8388608,5306081,6084894,-1042211,-7551236,464304,1026856
346,-123002,-8388608,5306043,6084685,-1042099,-7550031,464290,1026493
347,-122621,-8388608,5306031,6084426,-1041997,-7548596,464231,1026011
348,-122292,-8388608,5306063,6084233,-1041871,-7547663,464178,1025558
349,-122186,-8388608,5306137,6084024,-1041706,-7547567,464208,1025469
350,-122219,-8388608,5306249,6083834,-1041525,-7547377,464330,1025713
351,-122481,-8388608,5306323,6083716,-1041315,-7546767,464489,1026271
352,-122815,-8388608,5306371,6083586,-1041141,-7545759,464656,1026868
353,-123111,-8388608,5306433,6083431,-1040954,-7544783,464809,1027400
354,-123461,-8388608,5306365,6083231,-1040737,-7544229,465012,1027988
355,-123647,-8388608,5306342,6083026,-1040539,-7544054,465163,1028411
356,-123669,-8388608,5306291,6082813,-1040359,-7543874,465299,1028518
357,-123648,-8388608,5306220,6082604,-1040221,-7543612,465375,1028553
358,-123674,-8388608,5306153,6082383,-1040037,-7543123,465411,1028696
359,-123671,-8388608,5306103,6082111,-1039819,-7542556,465469,1028732
360,-123652,-8388608,5305995,6081821,-1039616,-7542336,465509,1028619
361,-123444,-8388608,5305854,6081516,-1039443,-7542277,465464,1028253
362,-123141,-8388608,5305729,6081227,-1039258,-7542358,465403,1027781
363,-122806,-8388608,5305614,6080978,-1039119,-7542491,465340,1027304
364,-122438,-8388608,5305459,6080705,-1038978,-7542622,465274,1026806
365,-122241,-8388608,5305334,6080484,-1038811,-7542685,465317,1026616
366,-122204,-8388608,5305270,6080330,-1038646,-7542536,465411,1026594
367,-122369,-8388608,5305160,6080162,-1038498,-7541865,465567,1026908
368,-122734,-8388608,5305014,6079996,-1038294,-7540809,465771,1027552
369,-123054,-8388608,5304880,6079831,-1038119,-7539391,465948,1028036
370,-123416,-8388608,5304711,6079704,-1037964,-7538012,466090,1028538
